t,steering,throttle,brake,speed,speed_mag,x,y,z,yaw_deg,source
3.0600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.0800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.1000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.1200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.1400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.1600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.1800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.2000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.2200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.2400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.2600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.2800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.3000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.3200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.3400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.3600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.3800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.4000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.4200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.4400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.4600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.4800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.5000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.5200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.5400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.5600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.5800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.6000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.6200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.6400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.6600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.6800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.7000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.7200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.7400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.7600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.7800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.8000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.8200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.8400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.8600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.8800,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.9000,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.9200,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.9400,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
3.9600,0.00000,0.0000,0.0000,0.00000,0.00000,0.0000,0.4742,0.0000,0.000,unity
